@relation OPENJPA_17/OPENJPA_17_training-set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
791,888,985,794,126.0,7,791,794,113.0,1,false
84,84,84,84,42.0,2,84,84,42.0,1,false
29,57,85,29,14.0,4,29,26,7.25,1,false
259,540,821,260,90.0,6,259,237,43.16666793823242,2,false
555,1033,1511,564,172.0,6,555,564,92.5,1,false
330,649,968,333,81.0,8,330,310,41.25,3,true
54,120,186,57,24.0,5,54,53,10.800000190734863,2,false
93,93,93,93,46.0,2,93,93,46.5,1,false
60,60,60,60,30.0,2,60,60,30.0,1,false
232,232,232,232,116.0,2,232,232,116.0,1,false
127,140,153,129,35.0,4,127,129,31.75,1,false
47,95,143,47,23.0,4,47,44,11.75,1,false
130,201,272,145,28.0,7,130,145,18.571428298950195,1,false
88,191,294,99,27.0,7,88,86,12.571428298950195,2,false
184,355,526,170,50.0,7,184,158,26.285715103149414,2,false
492,1034,1576,495,172.0,6,492,488,82.0,2,false
37,55,73,36,11.0,5,37,36,7.400000095367432,1,false
75,86,97,61,17.0,5,75,61,15.0,2,false
34,66,98,34,16.0,4,34,30,8.5,1,false
135,290,445,138,58.0,5,135,130,27.0,1,false
108,213,318,108,53.0,4,108,102,27.0,1,false
67,110,153,75,15.0,7,67,75,9.571428298950195,1,false
86,86,86,86,43.0,2,86,86,43.0,1,false
71,83,95,72,20.0,4,71,72,17.75,2,false
957,957,957,957,478.0,2,957,957,478.5,1,false
32,64,96,32,16.0,4,32,29,8.0,1,false
38,75,112,38,18.0,4,38,35,9.5,1,false
40,81,122,40,20.0,4,40,37,10.0,1,false
128,129,130,129,43.0,3,128,129,42.66666793823242,1,false
114,233,352,110,33.0,7,114,102,16.285715103149414,2,false
51,51,51,51,25.0,2,51,51,25.5,1,false
54,102,150,62,20.0,5,54,62,10.800000190734863,1,false
609,609,609,609,304.0,2,609,609,304.5,1,false
654,1444,2234,723,288.0,5,654,649,130.8000030517578,1,false
104,156,208,105,22.0,7,104,105,14.857142448425293,2,false
67,67,67,67,33.0,2,67,67,33.5,1,false
166,166,166,166,83.0,2,166,166,83.0,1,false
44,44,44,44,22.0,2,44,44,22.0,1,false
34,67,100,34,16.0,4,34,31,8.5,1,false
140,217,294,97,31.0,7,140,58,20.0,2,false
167,181,195,170,60.0,3,167,170,55.66666793823242,2,false
169,173,177,169,57.0,3,169,169,56.33333206176758,2,false
44,44,44,44,22.0,2,44,44,22.0,1,false
321,321,321,321,160.0,2,321,321,160.5,1,false
65,65,65,65,32.0,2,65,65,32.5,1,false
149,297,445,150,59.0,5,149,142,29.799999237060547,1,false
87,175,263,88,43.0,4,87,83,21.75,1,false
311,322,333,309,80.0,4,311,309,77.75,2,false
275,397,519,314,79.0,5,275,314,55.0,1,false
89,179,269,90,44.0,4,89,85,22.25,1,false
49,97,145,49,24.0,4,49,46,12.25,1,false
166,193,220,163,38.0,5,166,163,33.20000076293945,2,false
119,122,125,119,40.0,3,119,119,39.66666793823242,2,false
76,152,228,77,38.0,4,76,72,19.0,1,false
69,94,119,73,18.0,5,69,73,13.800000190734863,1,false
48,48,48,48,24.0,2,48,48,24.0,1,false
110,110,110,110,55.0,2,110,110,55.0,1,false
259,259,259,259,129.0,2,259,259,129.5,1,false
250,498,746,251,124.0,4,250,241,62.5,1,false
204,596,988,273,54.0,11,204,260,18.545454025268555,3,false
95,95,95,95,47.0,2,95,95,47.5,1,false
39,77,115,39,19.0,4,39,35,9.75,1,false
58,58,58,58,29.0,2,58,58,29.0,1,false
35,71,107,36,17.0,4,35,31,8.75,1,false
111,225,339,113,45.0,5,111,107,22.200000762939453,1,false
895,1784,2673,867,162.0,11,895,822,81.36363983154297,2,false
146,289,432,146,72.0,4,146,140,36.5,1,false
114,220,326,108,44.0,5,114,104,22.799999237060547,1,false
93,93,93,93,46.0,2,93,93,46.5,1,false
31,59,87,31,14.0,4,31,27,7.75,1,false
196,392,588,197,65.0,6,196,191,32.66666793823242,2,false
34,34,34,34,17.0,2,34,34,17.0,1,false
192,211,230,188,52.0,4,192,188,48.0,2,false
59,132,205,65,14.0,9,59,59,6.55555534362793,2,false
460,902,1344,460,180.0,5,460,437,92.0,1,false
49,49,49,49,24.0,2,49,49,24.5,1,false
370,506,642,373,72.0,7,370,373,52.85714340209961,2,false
200,200,200,200,100.0,2,200,200,100.0,1,false
34,34,34,34,17.0,2,34,34,17.0,1,false
39,92,145,47,18.0,5,39,43,7.800000190734863,2,false
173,183,193,174,61.0,3,173,174,57.66666793823242,2,false
87,175,263,88,43.0,4,87,83,21.75,1,false
53,56,59,53,18.0,3,53,53,17.66666603088379,2,false
383,772,1161,392,154.0,5,383,358,76.5999984741211,2,true
35,69,103,35,17.0,4,35,32,8.75,1,false
2988,6164,9340,3026,440.0,14,2988,2831,213.42857360839844,3,true
142,281,420,141,56.0,5,142,134,28.399999618530273,1,false
254,258,262,258,86.0,3,254,258,84.66666412353516,1,false
1455,2839,4223,1465,405.0,7,1455,1336,207.85714721679688,2,false
33,64,95,33,16.0,4,33,29,8.25,1,false
171,171,171,171,85.0,2,171,171,85.5,1,false
207,403,599,208,100.0,4,207,190,51.75,1,false
62,120,178,62,30.0,4,62,55,15.5,1,false
529,1037,1545,530,207.0,5,529,498,105.80000305175781,1,false
30,59,88,30,14.0,4,30,27,7.5,1,false
206,313,420,242,52.0,6,206,242,34.33333206176758,1,false
442,444,446,444,148.0,3,442,444,147.3333282470703,1,false
213,421,629,214,105.0,4,213,201,53.25,1,false
138,274,410,139,54.0,5,138,127,27.600000381469727,1,false
625,1047,1469,711,116.0,9,625,711,69.44444274902344,1,false
52,87,122,36,14.0,6,52,33,8.666666984558105,2,false
70,73,76,70,24.0,3,70,70,23.33333396911621,2,false
69,145,221,71,24.0,6,69,64,11.5,2,false
