Version, File Name, Size, LOCAdded, LOCTouched, MaxLOCAdded, averageLOCAdded, NR, Churn, MaxChurn, AverageChurn, nAuthors, Buggy
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java, 791, 888,985,794,126.0,7,791,794,113.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java, 84, 84,84,84,42.0,2,84,84,42.0,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/event/TransactionListener.java, 29, 57,85,29,14.0,4,29,26,7.25,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/MethodStoreQuery.java, 259, 540,821,260,90.0,6,259,237,43.16666793823242,2,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/TimeUnit.java, 555, 1033,1511,564,172.0,6,555,564,92.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java, 330, 649,968,333,81.0,8,330,310,41.25,3,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ToLowerCase.java, 54, 120,186,57,24.0,5,54,53,10.800000190734863,2,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedByteArrayFieldStrategy.java, 93, 93,93,93,46.0,2,93,93,46.5,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLFactoryImpl.java, 60, 60,60,60,30.0,2,60,60,30.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java, 232, 232,232,232,116.0,2,232,232,116.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java, 127, 140,153,129,35.0,4,127,129,31.75,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/meta/Order.java, 47, 95,143,47,23.0,4,47,44,11.75,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/RangeResultObjectProvider.java, 130, 201,272,145,28.0,7,130,145,18.571428298950195,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/ant/PCEnhancerTask.java, 88, 191,294,99,27.0,7,88,86,12.571428298950195,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CandidatePath.java, 184, 355,526,170,50.0,7,184,158,26.285715103149414,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OpenJPAStateManager.java, 492, 1034,1576,495,172.0,6,492,488,82.0,2,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/xml/Commentable.java, 37, 55,73,36,11.0,5,37,36,7.400000095367432,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java, 75, 86,97,61,17.0,5,75,61,15.0,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/event/NoneOrphanedKeyAction.java, 34, 66,98,34,16.0,4,34,30,8.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCache.java, 135, 290,445,138,58.0,5,135,130,27.0,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OrderingMergedResultObjectProvider.java, 108, 213,318,108,53.0,4,108,102,27.0,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ZipResourceBundleProvider.java, 67, 110,153,75,15.0,7,67,75,9.571428298950195,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java, 86, 86,86,86,43.0,2,86,86,43.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java, 71, 83,95,72,20.0,4,71,72,17.75,2,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java, 957, 957,957,957,478.0,2,957,957,478.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataModes.java, 32, 64,96,32,16.0,4,32,29,8.0,1,false
1, openjpa-persistence/src/main/java/org/apache/openjpa/persistence/DataCache.java, 38, 75,112,38,18.0,4,38,35,9.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/event/FlushTransactionListener.java, 40, 81,122,40,20.0,4,40,37,10.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java, 128, 129,130,129,43.0,3,128,129,42.66666793823242,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Val.java, 114, 233,352,110,33.0,7,114,102,16.285715103149414,2,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneFieldStrategy.java, 51, 51,51,51,25.0,2,51,51,25.5,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/ResultList.java, 54, 102,150,62,20.0,5,54,62,10.800000190734863,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer.java, 609, 609,609,609,304.0,2,609,609,304.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingQuery.java, 654, 1444,2234,723,288.0,5,654,649,130.8000030517578,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/MapConfigurationProvider.java, 104, 156,208,105,22.0,7,104,105,14.857142448425293,2,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractVersionStrategy.java, 67, 67,67,67,33.0,2,67,67,33.5,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java, 166, 166,166,166,83.0,2,166,166,83.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java, 44, 44,44,44,22.0,2,44,44,22.0,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/event/DetachListener.java, 34, 67,100,34,16.0,4,34,31,8.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAVersion.java, 140, 217,294,97,31.0,7,140,58,20.0,2,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapTableFieldStrategy.java, 167, 181,195,170,60.0,3,167,170,55.66666793823242,2,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedValueHandler.java, 169, 173,177,169,57.0,3,169,169,56.33333206176758,2,false
1, openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XTable.java, 44, 44,44,44,22.0,2,44,44,22.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy.java, 321, 321,321,321,160.0,2,321,321,160.5,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/FlatClassStrategy.java, 65, 65,65,65,32.0,2,65,65,32.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/util/Id.java, 149, 297,445,150,59.0,5,149,142,29.799999237060547,1,false
